osmid,latitude,longitude
259576101,-21.2345722,-47.759441
259576108,-21.2340008,-47.7592908
259577028,-21.1358758,-47.7639634
353460798,-21.206106,-47.7547367
353466665,-21.0926471,-47.7943941
353471822,-21.1730642,-47.8444477
353490126,-21.1212169,-47.8348195
353490282,-21.2715514,-47.7982942
353491699,-21.3064553,-47.8197747
353499496,-21.2064772,-47.8578432
492607160,-21.1277318,-47.787034
492607181,-21.13704,-47.7974234
492607190,-21.1457732,-47.7996098
492623770,-21.1886088,-47.8063353
492623784,-21.1813867,-47.8000843
492623849,-21.2082802,-47.7893392
492623879,-21.1755778,-47.8027973
492644764,-21.1748723,-47.8303103
503727916,-21.2136723,-47.7723171
503727984,-21.2078363,-47.7597543
503728004,-21.2081069,-47.757866
503728029,-21.2053811,-47.7565111
503728033,-21.2045611,-47.7578153
503728037,-21.2044735,-47.7587185
503728121,-21.1997955,-47.758067
503728133,-21.2105919,-47.7586344
597730194,-21.2413452,-47.7580281
597730322,-21.2111925,-47.7756738
597730375,-21.240957,-47.7579277
597730467,-21.2242865,-47.7677533
597730484,-21.2172487,-47.7719676
597730499,-21.2125117,-47.774315
597730616,-21.2379353,-47.7635813
597730659,-21.2231508,-47.769282
597730662,-21.2175984,-47.772191
597730683,-21.1947043,-47.7984321
618755597,-21.1963933,-47.8075741
618755620,-21.2096909,-47.8129889
618755623,-21.2099115,-47.8126581
618755624,-21.2097367,-47.8124658
618755627,-21.2086275,-47.8119925
618755777,-21.1942845,-47.7986523
618755884,-21.1937274,-47.798249
618755886,-21.1940321,-47.7985802
618755891,-21.1928743,-47.8010796
618755933,-21.1843125,-47.8003203
618755937,-21.184971,-47.7994363
618755942,-21.1866445,-47.7987409
618755947,-21.1901817,-47.7977522
618756189,-21.185077,-47.8009303
618756375,-21.190272,-47.7975296
618756612,-21.184911,-47.8057837
618756615,-21.1856213,-47.8063881
618756616,-21.1863556,-47.8069739
618756617,-21.1874563,-47.8079348
618756661,-21.1832217,-47.8080789
618756740,-21.1852196,-47.8085061
618756742,-21.1845064,-47.807909
618756957,-21.1871807,-47.810177
618756961,-21.1863444,-47.809468
618756966,-21.1880832,-47.8070666
618757017,-21.1888974,-47.8077447
618757277,-21.1577638,-47.7976653
618757279,-21.1634223,-47.7902632
618757280,-21.1634262,-47.7899539
618757281,-21.1631631,-47.789726
618757294,-21.1668667,-47.7890503
618757304,-21.1757495,-47.7964778
618757355,-21.1642627,-47.8032585
618757621,-21.1600181,-47.808932
618758727,-21.1682217,-47.8130664
618758765,-21.1673387,-47.8144242
618758833,-21.1656992,-47.8141286
618758861,-21.1640523,-47.8125822
618758867,-21.1626731,-47.8113811
618759373,-21.1725023,-47.8130263
618759376,-21.1707168,-47.815342
618759447,-21.176389,-47.8154662
618759451,-21.177324,-47.8156493
618759454,-21.1775606,-47.8156176
618760260,-21.1554638,-47.8406698
618760270,-21.1565287,-47.8435826
618760277,-21.1584433,-47.8431423
618760287,-21.15856,-47.8437915
618760292,-21.1579807,-47.8448624
618760310,-21.1586722,-47.8453351
618760332,-21.1580486,-47.8472466
618760347,-21.1606375,-47.8488832
618760354,-21.1609611,-47.8491496
618760370,-21.1633882,-47.8506899
618760375,-21.1637317,-47.850936
618760580,-21.1529025,-47.8419786
618760581,-21.1529556,-47.842117
618760586,-21.1545817,-47.841351
618760588,-21.1547669,-47.8412898
618760594,-21.1552009,-47.841383
618760597,-21.1552255,-47.8411828
618760599,-21.1565964,-47.8390908
618760603,-21.1568085,-47.8389579
